id,fecha_creacion,prioridad
1,2024-01-01 09:00,5
2,2024-01-01 09:00,1
3,2024-01-02 08:40,3
4,2024-01-01 10:00,4
5,2024-01-01 08:00,3
6,2024-01-01 10:00,2
7,2024-01-01 10:00,1
8,2024-01-01 09:00,2
9,2024-01-01 08:40,1
10,2024-01-01 09:00,3
11,2024-01-02 09:00,1
12,2024-01-01 09:00,5
13,2024-01-01 08:40,4
14,2024-01-01 10:00,3
15,2024-01-01 08:00,5
16,2024-01-01 10:00,2
17,2024-01-01 10:00,3
18,2024-01-01 09:00,1
19,2024-01-01 08:40,5
20,2024-01-01 09:00,2
21,2024-01-01 09:00,3
22,2024-01-01 09:00,4
23,2024-01-01 08:40,1
24,2024-01-01 10:00,1
25,2024-01-01 08:00,2
26,2024-01-03 10:00,5
27,2024-01-01 10:00,5
28,2024-01-01 09:00,4
29,2024-01-01 08:40,4
30,2024-01-01 09:00,5
31,2024-01-01 09:00,3
32,2024-01-01 09:00,2
33,2024-01-01 08:40,1
34,2024-01-01 10:00,2
35,2024-01-01 08:00,1
36,2024-01-01 10:00,3
37,2024-01-01 10:00,5
38,2024-01-01 09:00,4
39,2024-01-02 08:40,1
40,2024-01-01 09:00,3